split,wave,item,model,n,ordinal_expected_mae,ordinal_argmax_mae,log_loss,ranked_probability_score,multiclass_brier,human_mean,predicted_mean,mean_error,total_variation,human_variance,predicted_variance,variance_ratio
oof,2012,eq_a421,weighted_prior,11666,1.0678107427081442,0.8549440639675479,1.4082154814475585,0.1611075492415377,0.14233860063442585,2.518729016553701,2.791694287471587,0.272965270917886,0.11081860475693597,1.3445223431096895,1.5827296063612932,1.1771686907788115
oof,2018,eq_a421,weighted_prior,12472,1.13195808495769,1.2126381273799391,1.5097415389196807,0.17805969586523884,0.1519383589201898,2.974163704624881,2.7916612604379814,-0.18250244418689965,0.07457314266259629,1.5873490921040903,1.5827379822227519,0.997095087713046
oof,2021,eq_a421,weighted_prior,7690,1.1845897994152688,1.2206035724176945,1.54399341023344,0.18657006371999682,0.1546551957406425,2.907786256218529,2.7916514376376615,-0.11613481858086727,0.056644150326273464,1.7543862863375692,1.5827360145108136,0.9021593629843686
oof,2012,eq_a421,multinomial_logit,11666,0.9129323121546478,0.8321190388231016,1.3339940564371053,0.14657949831057476,0.13577165843971292,2.518729016553701,2.5452742763726577,0.026545259818956612,0.011416193636194918,1.3445223431096895,1.346940312413464,1.001798385364264
oof,2018,eq_a421,multinomial_logit,12472,1.0038819533176842,0.9734136749402806,1.4083208562334955,0.1584537680631274,0.1439868319032723,2.974163704624881,2.8999114775717603,-0.07425222705312073,0.03217087428193288,1.5873490921040903,1.6415448494731901,1.0341423053307457
oof,2021,eq_a421,multinomial_logit,7690,1.050684989810262,1.011690097722027,1.4429409503489552,0.16496132826587379,0.14727288717629594,2.907786256218529,2.987281889556484,0.07949563333795506,0.034746923833844284,1.7543862863375692,1.6935432846014837,0.9653194953643303
oof,2012,eq_a421,hist_gradient_boosting,11666,0.910563165967626,0.8261342810619818,1.3193084664607697,0.14455310585636866,0.13467315032152977,2.518729016553701,2.5379206970240276,0.01919168047032649,0.007935126558511234,1.3445223431096895,1.3520721925911205,1.0056152651684236
oof,2018,eq_a421,hist_gradient_boosting,12472,0.9862125204212405,0.958122785067288,1.3946835837606457,0.15572836384266828,0.1430597701606545,2.974163704624881,2.959671436968493,-0.014492267656387892,0.007487931145532631,1.5873490921040903,1.6042021785240372,1.0106171266949273
oof,2021,eq_a421,hist_gradient_boosting,7690,1.0052715294294323,1.0006851292205001,1.4148951415854774,0.1602764923195056,0.145051671937061,2.907786256218529,2.899228728694775,-0.008557527523753716,0.0046964868122695985,1.7543862863375692,1.7375711116399568,0.9904153521783874
oof,2012,eq_a422,weighted_prior,11655,1.0778911438740229,1.198961608530814,1.472838564684991,0.1685479014937321,0.14903905655362273,3.0069658378360957,3.1664852651243205,0.15951942728822477,0.059609749378304745,1.4436662012474546,1.5092974280150955,1.0454614970627765
oof,2018,eq_a422,weighted_prior,12459,1.0630543240357573,1.0269187542730314,1.4719537987033573,0.1662158251491893,0.1489012759033709,3.26268169429173,3.16649078582246,-0.09619090846927003,0.04187472975789657,1.4340621620160823,1.509308268534749,1.052470603096369
oof,2021,eq_a422,weighted_prior,7674,1.1547240766566316,1.1201814205125231,1.5272873037179824,0.18087287227667684,0.15327909354834549,3.2514638709140757,3.1664951421628964,-0.08496872875117933,0.06012210677893015,1.6693078625758104,1.5092906367181733,0.9041415730165411
oof,2012,eq_a422,multinomial_logit,11655,1.011231405839276,0.9936236004496006,1.4118747240679579,0.15790640564656866,0.1438451638273495,3.0069658378360957,3.015404703003452,0.008438865167356369,0.011067712981885573,1.4436662012474546,1.4134287395757799,0.9790550879105246
oof,2018,eq_a422,multinomial_logit,12459,0.976853757302071,0.9733992994172487,1.4062111141706597,0.15500120833665773,0.14424914489892984,3.26268169429173,3.238647265266836,-0.024034429024894166,0.030979039733328398,1.4340621620160823,1.531475639268855,1.0679283505505952
oof,2021,eq_a422,multinomial_logit,7674,1.0592699441649585,1.0486809261971928,1.4539057408315976,0.167236269948074,0.14811272839241657,3.2514638709140757,3.276410939148184,0.024947068234108194,0.03304152333347005,1.6693078625758104,1.565258989248969,0.9376694523164291
oof,2012,eq_a422,hist_gradient_boosting,11655,1.0018444677189002,0.985922897195232,1.401198131379513,0.15588623059495757,0.1430990686858354,3.0069658378360957,3.0220866741335,0.015120836297404239,0.006232726359565635,1.4436662012474546,1.450250682287571,1.0045609442365742
oof,2018,eq_a422,hist_gradient_boosting,12459,0.9679914504479791,0.9642180958824212,1.3967027889750196,0.15336125718744517,0.1437680427421575,3.26268169429173,3.2509260549783527,-0.011755639313377308,0.007212710043176522,1.4340621620160823,1.4527081200507048,1.013002196507583
oof,2021,eq_a422,hist_gradient_boosting,7674,1.0433889124727471,1.0304007361043164,1.438537477314761,0.16484550386968752,0.1470307014795888,3.2514638709140757,3.243979097606897,-0.0074847733071785605,0.008607741868383686,1.6693078625758104,1.6443830705697593,0.9850687865522954
oof,2012,eq_a423,weighted_prior,11653,1.0049101632237727,1.0765888828409447,1.4937481521446543,0.16385011381130296,0.15079457834165896,2.884409811399404,3.025091828077711,0.14068201667830715,0.06669820935732679,1.3680653300995684,1.500106572137252,1.0965167665114892
oof,2018,eq_a423,weighted_prior,12440,1.0271105900724515,1.2775863412176864,1.5173639366803404,0.168389542057399,0.1530243357044011,3.1000942495421078,3.0251145078823947,-0.0749797416597131,0.0399187260354563,1.4445690657444064,1.500060503656119,1.0384138351205223
oof,2021,eq_a423,weighted_prior,7650,1.1626059806837907,1.356981607028136,1.5659850981078294,0.18659201056692007,0.15624144288904943,3.1164070736877636,3.0251021536704377,-0.09130492001732593,0.07396969524076305,1.7423256869263208,1.5001629582679978,0.8610117898878434
oof,2012,eq_a423,multinomial_logit,11653,0.9906646465947252,1.0236361354365338,1.4520076981787955,0.1580340405748766,0.14765111178588822,2.884409811399404,2.888726489455267,0.004316678055863221,0.013960633953701708,1.3680653300995684,1.328711066592147,0.9712336372821048
oof,2018,eq_a423,multinomial_logit,12440,0.9954159516920493,1.0451293960187502,1.4585245194172314,0.15892038242484732,0.14873009451388783,3.1000942495421078,3.0880280201227492,-0.012066229419358532,0.03864504333111281,1.4445690657444064,1.5565946627085427,1.077549491831606
oof,2021,eq_a423,multinomial_logit,7650,1.1176466601593469,1.1338965593433539,1.514362822143748,0.17662990375435073,0.1526921904535119,3.1164070736877636,3.1295265588427776,0.013119485155014043,0.04201679061910104,1.7423256869263208,1.61959110202916,0.9295570364265937
oof,2012,eq_a423,hist_gradient_boosting,11653,0.9797010988528383,1.0257963195282402,1.440438527478875,0.15612391845378226,0.14707694585801268,2.884409811399404,2.8949946865877347,0.010584875188330845,0.004483205656445909,1.3680653300995684,1.3739858764087618,1.0043276780566923
oof,2018,eq_a423,hist_gradient_boosting,12440,0.9859245869178868,1.0186941613936742,1.452014183529836,0.15737922233824853,0.14832560564344444,3.1000942495421078,3.0863006615587953,-0.013793587983312428,0.005932353260076753,1.4445690657444064,1.451932462532966,1.0050972964624334
oof,2021,eq_a423,hist_gradient_boosting,7650,1.0974915725023948,1.1322991143396843,1.496712437694479,0.17385687669703617,0.15152943518815962,3.1164070736877636,3.1184183108121544,0.0020112371243907745,0.006814205086078953,1.7423256869263208,1.7201533609726027,0.9872742931358414
oof,2012,eq_a424,weighted_prior,11633,0.7061274368200656,0.6942426467811694,1.3221487357688144,0.1312561491423953,0.13948504573969042,3.866905128512518,3.97211995371878,0.10521482520626213,0.05131979922061031,0.9618362230655852,0.9451150933100738,0.9826154085752588
oof,2018,eq_a424,weighted_prior,12255,0.6581031611976118,0.6435663896904134,1.254739534709521,0.12053745210096121,0.13450181014323617,3.984658986086026,3.9721092004291716,-0.012549785656854606,0.03388554205749567,0.8498907800359005,0.9451630747124717,1.112099456676712
oof,2021,eq_a424,weighted_prior,7498,0.7721198571891533,0.7553436229422084,1.2753328671245552,0.13258282663423646,0.13547880550277383,4.112615737824841,3.972121471959718,-0.14049426586512315,0.11157216303976114,1.0373138758380624,0.945117467212194,0.9111200469082885
oof,2012,eq_a424,multinomial_logit,11633,0.7379904611055321,0.6840586004818883,1.2546250531968504,0.12281852469759585,0.13294224441421848,3.866905128512518,3.8474789634462847,-0.019426165066233292,0.021229146108642002,0.9618362230655852,0.9276597882938091,0.9644675112537888
oof,2018,eq_a424,multinomial_logit,12255,0.6729239478565321,0.668637520015441,1.1960161777924847,0.11301036822277225,0.12917790003497126,3.984658986086026,4.040205700018139,0.055546713932112635,0.05950731060206957,0.8498907800359005,0.9273509063203456,1.0911412714480477
oof,2021,eq_a424,multinomial_logit,7498,0.7507794589796729,0.6909383165463621,1.2012054165760166,0.12167904848251346,0.12813119423043348,4.112615737824841,4.052401785494183,-0.06021395233065796,0.06448845095803223,1.0373138758380624,0.9613234545847433,0.9267430784226951
oof,2012,eq_a424,hist_gradient_boosting,11633,0.7315457519521773,0.6837204958759274,1.2454095379382972,0.12169931535955603,0.1320567094669693,3.866905128512518,3.8717450418428063,0.004839913330288326,0.004545168654208443,0.9618362230655852,0.954361465717966,0.9922286589251177
oof,2018,eq_a424,hist_gradient_boosting,12255,0.6740006266478614,0.6371090322340202,1.1883397998894236,0.11207767945415728,0.12816488248404,3.984658986086026,3.9853805843675665,0.000721598281540281,0.006759454300938629,0.8498907800359005,0.8656211795129778,1.0185087305881972
oof,2021,eq_a424,hist_gradient_boosting,7498,0.7414077006020924,0.6948269782179638,1.1727889992313396,0.11838189881017866,0.12514225015575295,4.112615737824841,4.106398781476018,-0.006216956348823466,0.00959309442265345,1.0373138758380624,1.0211898115243798,0.9844559446381109
oof,2012,eq_a425,weighted_prior,11668,0.7295396410355233,0.6807924765100409,1.3179262580009292,0.13184611621459286,0.13702578243777946,3.8084586886139,3.8886911548553207,0.08023246624142066,0.05924481900596256,0.9990501902251013,1.0511569449152987,1.052156293247346
