split,wave,item,model,n,ordinal_expected_mae,ordinal_argmax_mae,log_loss,ranked_probability_score,multiclass_brier,human_mean,predicted_mean,mean_error,total_variation,human_variance,predicted_variance,variance_ratio
train_2012_2018_test_matched_2021,2021,eq_a421,hist_gradient_boosting,99,1.0013983041222638,0.9595959595959596,1.3927801658613368,0.1577283082771747,0.14331530947445537,2.787878787878788,2.87200485956371,0.08412607168492192,0.047465210118775004,1.6822773186409552,1.574787991609064,0.9361048705580078
train_2012_2018_test_matched_2021,2021,eq_a421,multinomial_logit,99,1.083403591088742,1.1414141414141414,1.4433779804826186,0.16846079787497253,0.1466904111182682,2.787878787878788,3.157086486728353,0.3692076988495647,0.155585187699535,1.6822773186409552,1.5155118185035583,0.9008691977895059
train_2012_2018_test_matched_2021,2021,eq_a421,weighted_prior,99,1.1694167129731343,1.1313131313131313,1.4868307093682986,0.18036980369806463,0.15022509475984638,2.787878787878788,2.754450916868059,-0.03342787101072897,0.06681606775541044,1.6822773186409552,1.5219946690670776,0.9047228136539559
train_2012_2018_test_matched_2021,2021,eq_a422,hist_gradient_boosting,100,1.007887544277745,0.92,1.5196300509887053,0.16357109455060445,0.15231760056380123,3.24,3.1974426696113234,-0.04255733038867682,0.10878645441726854,1.6024000000000003,1.4300285996841993,0.8924292309561901
train_2012_2018_test_matched_2021,2021,eq_a422,multinomial_logit,100,1.0231649148914046,1.02,1.53467368020217,0.16628112186080124,0.1527764824484237,3.24,3.3171631588893282,0.07716315888932801,0.10383889499512175,1.6024000000000003,1.3627512097922931,0.8504438403596436
train_2012_2018_test_matched_2021,2021,eq_a422,weighted_prior,100,1.1,1.1,1.5777521202532687,0.17841094655027592,0.15721764027528498,3.24,3.139297880859835,-0.10070211914016536,0.11009994471729041,1.6024000000000003,1.4550237773311263,0.9080278191032989
train_2012_2018_test_matched_2021,2021,eq_a423,hist_gradient_boosting,100,1.08552843195511,1.19,1.4952281875091864,0.1719256882895456,0.15255654202529176,3.02,3.0699931775966705,0.049993177596670435,0.05660064092258295,1.4596,1.4314691968223325,0.9807270463293591
train_2012_2018_test_matched_2021,2021,eq_a423,multinomial_logit,100,1.0791182027828814,1.18,1.4982609805431735,0.1710992145159417,0.15193345610666778,3.02,3.1727189447677797,0.1527189447677797,0.09708157068165735,1.4596,1.3788470689487244,0.9446746156129929
train_2012_2018_test_matched_2021,2021,eq_a423,weighted_prior,100,1.0605665904124089,1.2,1.4775613050477931,0.16792604613405865,0.14939143843119415,3.02,2.9959529256256507,-0.024047074374349275,0.05738511732102906,1.4596,1.419246161009049,0.9723528096800829
train_2012_2018_test_matched_2021,2021,eq_a424,hist_gradient_boosting,99,0.844269795814679,0.8282828282828283,1.3783433376321066,0.1397429751702957,0.1404902468669419,3.98989898989899,3.9522184516076533,-0.037680538291336774,0.1460621749650305,1.2625242322212016,0.8547815841069504,0.6770417250551336
train_2012_2018_test_matched_2021,2021,eq_a424,multinomial_logit,99,0.8377090292518248,0.797979797979798,1.3815027438724634,0.14062111891937296,0.14170329631253553,3.98989898989899,3.944543271191051,-0.0453557187079392,0.17640061920847472,1.2625242322212016,0.7982312813302528,0.6322502657441256
train_2012_2018_test_matched_2021,2021,eq_a424,weighted_prior,99,0.8555013878071397,0.8181818181818182,1.3885484792573641,0.1481684642300355,0.14237577140196586,3.98989898989899,3.9275561295508465,-0.062342860348143514,0.14212775558020074,1.2625242322212016,0.9076402839203261,0.7189091985375076
train_2012_2018_test_matched_2021,2021,eq_a425,hist_gradient_boosting,100,0.7830816792631202,0.64,1.2072646745419087,0.12129307559183561,0.13113008667646292,4.23,3.8569690309566274,-0.3730309690433731,0.17504101120733628,0.7971,1.0391287038813797,1.3036365623903896
train_2012_2018_test_matched_2021,2021,eq_a425,multinomial_logit,100,0.7815728999518561,0.66,1.1937619509611022,0.12073699290564659,0.12985456879886814,4.23,3.8683983804288213,-0.3616016195711791,0.16472062322610975,0.7971,1.0444439630245093,1.3103048087122182
train_2012_2018_test_matched_2021,2021,eq_a425,weighted_prior,100,0.8002432906488756,0.69,1.2443772757637075,0.12604963695162863,0.13561908932964994,4.23,3.837877513751653,-0.39212248624834745,0.18978275900826258,0.7971,1.032503546087396,1.2953249856823434
