source,wave,item,model,n,ordinal_expected_mae,ordinal_argmax_mae,log_loss,ranked_probability_score,multiclass_brier,human_mean,predicted_mean,mean_error,total_variation,human_variance,predicted_variance,variance_ratio
survey_trained_ml,2012,eq_a421,hist_gradient_boosting,100,0.8960955374960428,0.78,1.4202280275064354,0.1474036271811261,0.1441598223557269,2.43,2.5584669868576135,0.12846698685761337,0.08972703660858836,1.2651,1.3813621327424803,1.0918995595150427
survey_trained_ml,2012,eq_a421,multinomial_logit,100,0.9378089304756441,0.9,1.4665132036276898,0.15613487611585242,0.14782584614112793,2.43,2.5875658203700564,0.1575658203700563,0.10923050348367681,1.2651,1.3789703587378828,1.0900089785296678
survey_trained_ml,2012,eq_a421,weighted_prior,100,1.0274291129977684,0.79,1.4709456614266052,0.16027770983848505,0.14672992770425095,2.43,2.7917900926668837,0.36179009266688356,0.17007462230282117,1.2651,1.5826297612874711,1.250991827750748
survey_trained_ml,2012,eq_a422,hist_gradient_boosting,100,1.1087033325434827,1.15,1.482310499823267,0.17357893674149547,0.15256600555573538,2.93,3.041037223014001,0.11103722301400065,0.10860819221004456,1.6451,1.4676755033435036,0.8921497193748122
survey_trained_ml,2012,eq_a422,multinomial_logit,100,1.1255713542941919,1.05,1.5134613634120873,0.17594979139314273,0.15436810628056344,2.93,3.0488103467196264,0.1188103467196262,0.12144530850084519,1.6451,1.4265296502395,0.8671385631508722
survey_trained_ml,2012,eq_a422,weighted_prior,100,1.1702055334417008,1.37,1.5383353618628246,0.1841711636128972,0.15488199548220696,2.93,3.1665625983010246,0.23656259830102444,0.1265353223626826,1.6451,1.5093582385996989,0.9174872278886991
survey_trained_ml,2012,eq_a423,hist_gradient_boosting,100,1.0400318052200426,1.04,1.5144815938643585,0.16703356261529048,0.15255240482553525,2.69,2.9194594026379623,0.22945940263796238,0.07190265821347563,1.4339000000000002,1.3788193722005229,0.9615868416211191
survey_trained_ml,2012,eq_a423,multinomial_logit,100,1.0402324119966107,1.04,1.515930482505823,0.16648793632493306,0.15236641110797647,2.69,2.9206895190374347,0.23068951903743473,0.0802665651403954,1.4339000000000002,1.3276664455092408,0.9259128569002306
survey_trained_ml,2012,eq_a423,weighted_prior,100,1.0603710514748423,1.01,1.546044534603127,0.17379350295526572,0.15433465155910245,2.69,3.024921973037218,0.33492197303721793,0.11839076752688069,1.4339000000000002,1.500331561965865,1.0463292851425239
survey_trained_ml,2012,eq_a424,hist_gradient_boosting,99,0.7949600850717883,0.7575757575757576,1.32836817002666,0.13808342955387137,0.13559470201613924,3.757575757575758,3.918955529567633,0.16137977199187503,0.05933310872680275,1.2139577594123048,0.9362671353720238,0.7712518233132633
survey_trained_ml,2012,eq_a424,multinomial_logit,99,0.8031656558868997,0.7575757575757576,1.3382093679113864,0.13968919579201383,0.13713627295102349,3.757575757575758,3.887234988414586,0.12965923083882824,0.05914844238875676,1.2139577594123048,0.9146512377615679,0.7534456867793854
survey_trained_ml,2012,eq_a424,weighted_prior,99,0.7985801033001967,0.7878787878787878,1.4181854246555305,0.1501466740052122,0.14416008368182867,3.757575757575758,3.9719879315047426,0.21441217392898482,0.06752060588500074,1.2139577594123048,0.9454543578271846,0.7788198151844207
survey_trained_ml,2012,eq_a425,hist_gradient_boosting,100,0.7365721593609834,0.65,1.2349521641884706,0.12502872747714533,0.1289073188291516,3.82,3.8262407317397735,0.006240731739773686,0.027319799241349994,1.0475999999999999,1.0129613052347235,0.9669351901820576
survey_trained_ml,2012,eq_a425,multinomial_logit,100,0.7426925400515125,0.69,1.2600513092141634,0.12711078248366983,0.13189497199952702,3.82,3.8037140924477515,-0.016285907552248347,0.041281736121004796,1.0475999999999999,0.9911266464597794,0.9460926369413704
survey_trained_ml,2012,eq_a425,weighted_prior,100,0.751304530871376,0.7,1.3140533808589112,0.1347539944434994,0.13677182488497458,3.82,3.8886039388235076,0.06860393882350779,0.06402013036118091,1.0475999999999999,1.0513034691563625,1.0035351939255084
survey_trained_ml,2018,eq_a421,hist_gradient_boosting,100,1.1049433525811183,1.04,1.4592720849203922,0.1755494604412185,0.14617451001521767,2.95,2.959962664554812,0.009962664554811873,0.06364258959675591,1.7274999999999998,1.5917180837717098,0.9213997590574298
survey_trained_ml,2018,eq_a421,multinomial_logit,100,1.1006708528722593,1.01,1.4623842609697553,0.1748035867640557,0.14757227196513895,2.95,2.908985935275017,-0.04101406472498326,0.06354743697149762,1.7274999999999998,1.629167547124542,0.9430781748911966
survey_trained_ml,2018,eq_a421,weighted_prior,100,1.202538030449047,1.25,1.4928674666148145,0.18523259596979827,0.15106608845355518,2.95,2.7918001798318395,-0.1581998201681607,0.09380723274160421,1.7274999999999998,1.582776890148108,0.9162239595647516
survey_trained_ml,2018,eq_a422,hist_gradient_boosting,100,0.9839628287410779,0.95,1.4452810086751895,0.15871377955776697,0.14563005684318553,3.15,3.2779460570897268,0.12794605708972684,0.04944579580506324,1.3874999999999997,1.4292314702182303,1.0300767352924185
survey_trained_ml,2018,eq_a422,multinomial_logit,100,1.000012293309104,1.06,1.461069915538432,0.16190322442571575,0.1471272262835655,3.15,3.2621829736795744,0.11218297367957453,0.05960548193379093,1.3874999999999997,1.5093124072934412,1.087792725977255
survey_trained_ml,2018,eq_a422,weighted_prior,100,1.0335294564015927,1.05,1.4695993151537754,0.16290673224042407,0.1482737720281025,3.15,3.1664091085227377,0.016409108522737803,0.06755272781496865,1.3874999999999997,1.5092120811669822,1.0877204188590865
survey_trained_ml,2018,eq_a423,hist_gradient_boosting,100,0.9512246583192333,0.93,1.4334787555220305,0.1519202942543703,0.14634584616648902,3.05,3.092719163814476,0.04271916381447616,0.03980744440926617,1.3475,1.4391163563860818,1.0679898748690775
survey_trained_ml,2018,eq_a423,multinomial_logit,100,0.9748117662288458,0.92,1.4469860927145404,0.15463052846375439,0.1471820930527447,3.05,3.1155684807614366,0.06556848076143673,0.06282070355926062,1.3475,1.54325183799895,1.1452703807042302
survey_trained_ml,2018,eq_a423,weighted_prior,100,0.994036944437194,1.21,1.483734778872971,0.16172830739294247,0.15036999496078102,3.05,3.025106860189811,-0.024893139810188813,0.04963754985834263,1.3475,1.5000394532999284,1.1132018206307448
survey_trained_ml,2018,eq_a424,hist_gradient_boosting,99,0.746885713111495,0.6666666666666666,1.273450904431566,0.12403669054949333,0.13259792223098216,3.9393939393939394,3.9912191124928498,0.051825173098910327,0.05637352370466303,0.9862258953168042,0.8538431214828588,0.8657683047437927
survey_trained_ml,2018,eq_a424,multinomial_logit,99,0.7476299228674862,0.6767676767676768,1.265376089213249,0.1253712962773348,0.1330092072003081,3.9393939393939394,4.049029696244171,0.1096357568502313,0.06100306272775935,0.9862258953168042,0.907796658645843,0.9204753829286064
survey_trained_ml,2018,eq_a424,weighted_prior,99,0.7397059700099848,0.7272727272727273,1.3122570702739058,0.13255486610492304,0.13974521690841718,3.9393939393939394,3.9720290153958553,0.03263507600191584,0.03516995847114528,0.9862258953168042,0.9453312636465689,0.9585342142561581
survey_trained_ml,2018,eq_a425,hist_gradient_boosting,100,0.8862867507989565,0.8,1.3730955518465349,0.14415620466878468,0.14444865953970296,3.9,3.8587983728259485,-0.0412016271740514,0.1690718992336532,1.27,1.0765490442012826,0.8476764127569154
survey_trained_ml,2018,eq_a425,multinomial_logit,100,0.8811076192617654,0.82,1.3738404472568362,0.14479958123967027,0.14365217242787962,3.9,3.911903723325783,0.011903723325783044,0.15323095820626245,1.27,1.0887067380036584,0.8572494000028806
survey_trained_ml,2018,eq_a425,weighted_prior,100,0.9182270815425827,0.88,1.4490274830413596,0.15408223897376255,0.1513323060573533,3.9,3.8888277676989653,-0.01117223230103459,0.17599331494479248,1.27,1.051116213447603,0.8276505617697661
survey_trained_ml,2021,eq_a421,hist_gradient_boosting,99,0.9761741245511983,0.9292929292929293,1.3675113105499312,0.15624383861276722,0.1414375029099294,2.787878787878788,2.8892628959380042,0.10138410805921616,0.056147888393550234,1.6822773186409552,1.7650800357573502,1.0492206107749749
survey_trained_ml,2021,eq_a421,multinomial_logit,99,1.0328882692099834,0.9191919191919192,1.3835002064284565,0.15908038363494148,0.14305699856908202,2.787878787878788,2.9979383367023975,0.21005954882360944,0.08553449870168633,1.6822773186409552,1.680246292140028,0.9987926922164249
survey_trained_ml,2021,eq_a421,weighted_prior,99,1.1713285904312303,1.1313131313131313,1.4838068788087422,0.18003295495401897,0.14990745507144732,2.787878787878788,2.7915940187338655,0.0037152308550774116,0.04989841820083594,1.6822773186409552,1.582892675077055,0.9409225563094501
survey_trained_ml,2021,eq_a422,hist_gradient_boosting,100,0.9919763185579085,0.9,1.4743398681014446,0.16036835400171456,0.15020917313753634,3.24,3.248863986851121,0.008863986851120664,0.07101484731605061,1.6024000000000003,1.6523548474844834,1.0311750171520737
survey_trained_ml,2021,eq_a422,multinomial_logit,100,1.01208269520303,1.03,1.4915716881393644,0.16314312768895822,0.1503430162775451,3.24,3.274283608610422,0.0342836086104219,0.07208976584100242,1.6024000000000003,1.5735689071500065,0.982007555635301
survey_trained_ml,2021,eq_a422,weighted_prior,100,1.1002575211057803,1.1,1.5698132128076332,0.17780836367144695,0.15661624620691655,3.24,3.166557039859221,-0.07344296014077933,0.09581812785077841,1.6024000000000003,1.5089809099349392,0.9417005179324381
survey_trained_ml,2021,eq_a423,hist_gradient_boosting,100,1.0839966722953087,1.2,1.4591423723896662,0.1696889892513742,0.15001922238873194,3.02,3.118914868906108,0.09891486890610812,0.09373448196429837,1.4596,1.73100453723203,1.1859444623403876
survey_trained_ml,2021,eq_a423,multinomial_logit,100,1.073883118216989,1.16,1.4670669361606616,0.16846973718832273,0.14956868743974674,3.02,3.144657153105147,0.1246571531051468,0.08856098625910136,1.4596,1.6219691634963045,1.1112422331435357
survey_trained_ml,2021,eq_a423,weighted_prior,100,1.0636778977915398,1.2,1.4769517155645264,0.16782872235367763,0.1493314615172782,3.02,3.025121788451387,0.005121788451386777,0.06645767458559595,1.4596,1.5002967643345997,1.0278821350607013
survey_trained_ml,2021,eq_a424,hist_gradient_boosting,99,0.821555151713171,0.7474747474747475,1.2798770796141739,0.13498016909663973,0.13295783540943504,3.98989898989899,4.105750785768032,0.11585179586904237,0.03999814459163988,1.2625242322212016,1.015151275238484,0.8040647849209943
survey_trained_ml,2021,eq_a424,multinomial_logit,99,0.8104087835918117,0.7676767676767676,1.2695689199875877,0.13354205994942214,0.13290483601554545,3.98989898989899,4.060403270985947,0.07050428108695739,0.05908864697122045,1.2625242322212016,0.9470109834414515,0.7500933124866388
survey_trained_ml,2021,eq_a424,weighted_prior,99,0.8324560419103259,0.8181818181818182,1.3656433266866919,0.14652768249557016,0.14035167941180576,3.98989898989899,3.9720230794894054,-0.017875910409584694,0.10673773178704762,1.2625242322212016,0.9453065949059898,0.7487433276768716
survey_trained_ml,2021,eq_a425,hist_gradient_boosting,100,0.7233483448959724,0.6,1.1351751671645254,0.11146573109712596,0.1253961231221953,4.23,4.045635123482226,-0.18436487651777433,0.07200542774453714,0.7971,1.0551749600112785,1.3237673566820707
survey_trained_ml,2021,eq_a425,multinomial_logit,100,0.7373981199977464,0.58,1.1463431346850883,0.11404967334903839,0.12560394955268817,4.23,3.978798726880887,-0.25120127311911356,0.1044381912929147,0.7971,1.0761758186433177,1.350113936323319
survey_trained_ml,2021,eq_a425,weighted_prior,100,0.7656424518158954,0.69,1.2180141229810024,0.12227765683936828,0.13286449324725533,4.23,3.8883241453745088,-0.34167585462549166,0.16014195875921539,0.7971,1.051658814441888,1.319356184220158
llm,2012,eq_a421,qwen3_8b_neutral,100,0.9419999999999998,0.93,21.64674928362091,0.23189999999999997,0.24191999999999997,2.43,2.3320000000000003,-0.09799999999999986,0.41000000000000003,1.2651000000000001,0.5537759999999992,0.4377329855347396
llm,2012,eq_a422,qwen3_8b_neutral,100,1.3659999999999999,1.41,26.76157692042097,0.3281,0.30127999999999994,2.93,3.408,0.47799999999999976,0.47400000000000003,1.6451,0.8335359999999987,0.5066780134946196
llm,2012,eq_a423,qwen3_8b_neutral,100,1.1059999999999999,1.12,20.738594255913103,0.2605,0.24911999999999995,2.69,1.92,-0.77,0.434,1.4339000000000002,0.3495999999999997,0.24381058651230883
llm,2012,eq_a424,qwen3_8b_neutral,99,1.628282828282828,1.7373737373737375,24.62385550894223,0.37575757575757585,0.2909090909090909,3.757575757575758,2.3797979797979796,-1.3777777777777782,0.6888888888888889,1.213957759412305,0.6153494541373341,0.5068952765170626
llm,2012,eq_a425,qwen3_8b_neutral,100,1.726,1.76,29.283170832557392,0.4181,0.32447999999999994,3.82,2.2019999999999995,-1.6180000000000003,0.7399999999999999,1.0475999999999999,0.30519600000000224,0.2913287514318464
llm,2018,eq_a421,qwen3_8b_neutral,100,1.1740000000000002,1.17,22.73381252674346,0.2897,0.25455999999999995,2.95,2.756,-0.1940000000000004,0.3499999999999999,1.7274999999999998,0.9404640000000004,0.5444075253256153
llm,2018,eq_a422,qwen3_8b_neutral,100,1.0919999999999999,1.09,20.662822396583852,0.2636,0.24255999999999997,3.15,3.726,0.5760000000000001,0.44599999999999995,1.3875,0.5269239999999993,0.37976504504504455
llm,2018,eq_a423,qwen3_8b_neutral,100,1.246,1.25,22.161653186374142,0.2917,0.2620799999999999,3.05,2.12,-0.9299999999999997,0.49399999999999994,1.3474999999999997,0.5615999999999985,0.4167717996289415
llm,2018,eq_a424,qwen3_8b_neutral,99,1.5151515151515154,1.6161616161616161,24.990599134547804,0.35010101010101013,0.2954343434343434,3.9393939393939394,2.63030303030303,-1.3090909090909095,0.5838383838383838,0.9862258953168043,0.8633241505968794,0.875381750465551
llm,2018,eq_a425,qwen3_8b_neutral,100,1.6760000000000002,1.7,29.255853165280197,0.40419999999999995,0.3183999999999999,3.9,2.4719999999999995,-1.4280000000000004,0.6360000000000001,1.27,0.6252160000000018,0.49229606299212736
llm,2021,eq_a421,qwen3_8b_neutral,99,1.0505050505050506,1.0505050505050506,21.87797700162563,0.2545454545454545,0.24565656565656563,2.787878787878788,2.8000000000000003,0.0121212121212122,0.36363636363636365,1.682277318640955,0.9599999999999991,0.5706550218340606
llm,2021,eq_a422,qwen3_8b_neutral,100,1.152,1.17,21.75264952036473,0.26839999999999997,0.25183999999999995,3.24,3.768,0.5279999999999996,0.506,1.6024000000000003,0.5061760000000017,0.3158861707438852
llm,2021,eq_a423,qwen3_8b_neutral,100,1.194,1.22,20.320066292118792,0.2811,0.2328,3.02,2.01,-1.0100000000000002,0.49599999999999994,1.4596000000000005,0.4339000000000004,0.29727322554124436
llm,2021,eq_a424,qwen3_8b_neutral,99,1.7838383838383836,1.8686868686868687,27.153885733791434,0.41181818181818186,0.31450505050505045,3.98989898989899,2.5010101010101007,-1.4888888888888894,0.6787878787878786,1.2625242322212018,0.7510090807060514,0.5948472603846784
llm,2021,eq_a425,qwen3_8b_neutral,100,2.0340000000000003,2.1,31.106556137375247,0.4921,0.3439999999999999,4.23,2.292,-1.9380000000000006,0.7619999999999999,0.7971,0.41473600000000044,0.5203061096474726
