split,wave,item,model,n,ordinal_expected_mae,ordinal_argmax_mae,log_loss,ranked_probability_score,multiclass_brier,human_mean,predicted_mean,mean_error,total_variation,human_variance,predicted_variance,variance_ratio
train_2012_2018_test_2021,2021,eq_a421,weighted_prior,7690,1.1862945197170887,1.2206035724176945,1.5524611134568695,0.18758918833509974,0.15534601941532797,2.907786256218529,2.7544509168680618,-0.15333533935046706,0.07480991141971258,1.7543862863375692,1.5219946690670563,0.8675368024247099
train_2012_2018_test_2021,2021,eq_a421,multinomial_logit,7690,1.0902739580882101,1.071964178380497,1.496545014767437,0.1724917365638344,0.15139675942134997,2.907786256218529,3.1409865589649004,0.2332003027463716,0.1042838620127002,1.7543862863375692,1.5362371999155418,0.875655043520984
train_2012_2018_test_2021,2021,eq_a421,hist_gradient_boosting,7690,1.0341212935333104,1.0057024182003658,1.466023850075818,0.16488096881764777,0.14899387516770302,2.907786256218529,2.8765651348491392,-0.031221121369389593,0.058803919780819267,1.7543862863375692,1.5690314231808795,0.8943477473574911
train_2012_2018_test_2021,2021,eq_a422,weighted_prior,7674,1.1558727862816744,1.1201814205125231,1.5362487391170874,0.18158429377703317,0.15383487994587466,3.2514638709140757,3.1392978808598317,-0.11216599005424399,0.07936446060456136,1.6693078625758104,1.455023777331128,0.87163297433103
train_2012_2018_test_2021,2021,eq_a422,multinomial_logit,7674,1.0715634843879176,1.086176465656927,1.4931699972371149,0.17091046462451553,0.15088458726351936,3.2514638709140757,3.320277829295661,0.06881395838158522,0.09590823816797775,1.6693078625758104,1.3631453784451555,0.8165931575627795
train_2012_2018_test_2021,2021,eq_a422,hist_gradient_boosting,7674,1.0687664434958628,1.030080998097548,1.4815756327657166,0.16862355456908318,0.14999258794918668,3.2514638709140757,3.193568418518642,-0.05789545239543381,0.08171584811614743,1.6693078625758104,1.4320272605631956,0.857856895464159
train_2012_2018_test_2021,2021,eq_a423,weighted_prior,7650,1.1614440077128105,1.356981607028136,1.580113807423231,0.18766318341812602,0.15708696240114708,3.1164070736877636,2.9959529256256667,-0.12045414806209687,0.09762188598830487,1.7423256869263208,1.4192461610090206,0.8145699576482439
train_2012_2018_test_2021,2021,eq_a423,multinomial_logit,7650,1.128708202845743,1.173315160581664,1.5680542009606977,0.1806160489787984,0.15629806057807188,3.1164070736877636,3.1575797312233136,0.041172657535549995,0.12163016177919643,1.7423256869263208,1.3822931339306024,0.7933609337810655
train_2012_2018_test_2021,2021,eq_a423,hist_gradient_boosting,7650,1.1132000618642635,1.118298663422769,1.549475837296199,0.17800179241515549,0.15522470534014074,3.1164070736877636,3.0513732002309033,-0.06503387345686029,0.09252668258937691,1.7423256869263208,1.4225707439654833,0.8164780870992466
train_2012_2018_test_2021,2021,eq_a424,weighted_prior,7498,0.7988914175038873,0.7553436229422084,1.2979231835100324,0.1349756339733315,0.13788634526575566,4.112615737824841,3.9275561295508767,-0.1850596082739644,0.14696200428999184,1.0373138758380624,0.9076402839202196,0.8749909791642597
train_2012_2018_test_2021,2021,eq_a424,multinomial_logit,7498,0.7837907164376543,0.7256063093339858,1.2957728922862728,0.12977186269984609,0.13756196012412,4.112615737824841,3.947926214089032,-0.16468952373580903,0.1796430321838567,1.0373138758380624,0.8006091704386282,0.7718099498011664
train_2012_2018_test_2021,2021,eq_a424,hist_gradient_boosting,7498,0.784649126703766,0.7221495512701326,1.2748798375263175,0.1278218481434742,0.135652028462443,4.112615737824841,3.9375435472639317,-0.1750721905609094,0.15725199916968918,1.0373138758380624,0.8608114056467695,0.8298466121946997
train_2012_2018_test_2021,2021,eq_a425,weighted_prior,7710,0.8330317103387187,0.7378944699408284,1.3092312749840724,0.1373393439335273,0.13789334399294637,4.0468889791224285,3.837877513751664,-0.20901146537076443,0.1289185078347075,1.0763778745210142,1.0325035460873533,0.959238916488148
train_2012_2018_test_2021,2021,eq_a425,multinomial_logit,7710,0.8079756066718525,0.7369067004582692,1.301706184026338,0.13415891085228476,0.13657180561814025,4.0468889791224285,3.893389815931434,-0.15349916319099455,0.09640172604716718,1.0763778745210142,1.0290565679657746,0.9560365298512872
train_2012_2018_test_2021,2021,eq_a425,hist_gradient_boosting,7710,0.8128430671619838,0.723218110784332,1.2981966662406406,0.13356932980492434,0.1364450914662093,4.0468889791224285,3.8723250263473292,-0.17456395277509928,0.1108088013951833,1.0763778745210142,1.027389468246028,0.9544877245857679
