wave,item,profiles,repeats,grand_mean,between_profile_variance,within_profile_variance,total_predictive_variance,within_share,human_variance,total_variance_ratio,between_variance_ratio
2012,a421,100,5,2.332,0.5249759999999998,0.028799999999999996,0.5537759999999998,0.05200658750108348,1.3445223431096867,0.41187563958156,0.3904553930920968
2012,a422,100,5,3.408,0.6703359999999998,0.1632,0.8335359999999998,0.19579238329238335,1.443666201247455,0.5773744645955908,0.46432894212025627
2012,a423,100,5,1.92,0.2560000000000001,0.09360000000000003,0.34960000000000013,0.2677345537757437,1.368065330099574,0.2555433518474989,0.18712556657025092
2012,a424,100,5,2.396,0.3471840000000001,0.288,0.6351840000000001,0.4534119247336204,0.9618362230655861,0.6603868566891017,0.36095958092891056
2012,a425,100,5,2.202,0.22199600000000008,0.08320000000000002,0.30519600000000013,0.27261169871164753,0.9990501902251013,0.3054861537349138,0.22220705443235136
2018,a421,100,5,2.756,0.902064,0.038400000000000004,0.940464,0.04083090899811158,1.5873490921040907,0.5924745884053644,0.5682833124024913
2018,a422,100,5,3.7260000000000004,0.44932399999999983,0.07760000000000007,0.526924,0.1472698150017841,1.4340621620160778,0.3674345603395764,0.3133225406131051
2018,a423,100,5,2.12,0.43359999999999993,0.12799999999999997,0.5615999999999999,0.22792022792022792,1.4445690657443906,0.3887664586743769,0.30015871880557304
2018,a424,100,5,2.64,0.5568,0.3136,0.8704,0.3602941176470588,0.8498907800358972,1.0241315948423826,0.6551430055241712
2018,a425,100,5,2.472,0.5356159999999999,0.0896,0.6252159999999999,0.14331047190091106,1.0621136621992802,0.588652629423284,0.504292543314921
2021,a421,100,5,2.792,0.892736,0.06399999999999997,0.9567359999999999,0.06689410662920595,1.7543862863375679,0.5453394200870485,0.5088594267706362
2021,a422,100,5,3.768,0.36377600000000015,0.14240000000000003,0.5061760000000002,0.28132507270198504,1.6693078625758082,0.30322507390515163,0.21792025794372008
2021,a423,100,5,2.0100000000000002,0.3251,0.10880000000000001,0.4339,0.25074902051163867,1.7423256869263277,0.24903495555153746,0.18658968437382997
2021,a424,100,5,2.5,0.44920000000000015,0.3008,0.7500000000000002,0.40106666666666657,1.0373138758380678,0.7230212739553488,0.43304154168099024
2021,a425,100,5,2.292,0.31393599999999994,0.1008,0.41473599999999994,0.2430461787739671,1.0763778745209978,0.3853070653134364,0.2916596554343943
