wave,metric,estimate,ci_low,ci_high,bootstrap_repetitions,profiles
2012,joint_a425,0.24240911976085033,0.18050216665176483,0.33373006863645754,2000,100
2012,independent_a425,0.18424080373926682,0.108224455988414,0.2676148546537563,2000,100
2012,context_difference,0.05816831602158351,-0.04977710794381129,0.1906027123000203,2000,100
2018,joint_a425,0.33486707220650214,0.26505632182846667,0.40960177148856164,2000,100
2018,independent_a425,0.06461759380265322,0.04358527749200718,0.18133860851996042,2000,100
2018,context_difference,0.27024947840384894,0.1239580841427034,0.337694686804138,2000,100
2021,joint_a425,0.23185419564839077,0.16885111588643759,0.3149087715739321,2000,100
2021,independent_a425,0.16943201253375034,0.13305013332715718,0.2785733920366958,2000,100
2021,context_difference,0.06242218311464043,-0.06486304652325939,0.1492921476105139,2000,100
