wave,item,analysis,n,repeats,ordinal_expected_mae,expected_draw_absolute_error,human_mean,predicted_mean,mean_error,total_variation,human_variance,predicted_variance,variance_ratio
2012,a421,first_draw_sensitivity,100,1,1.7,1.7,2.43,3.6900000000000004,1.2600000000000002,0.48,1.2651,1.1939000000000002,0.9437198640423684
2012,a422,first_draw_sensitivity,100,1,1.5,1.5,2.93,3.95,1.02,0.4,1.6451,0.9075,0.5516381982858185
2012,a423,first_draw_sensitivity,100,1,1.26,1.26,2.69,3.37,0.6800000000000002,0.31,1.4339,1.0731000000000002,0.7483785480159009
2012,a424,first_draw_sensitivity,99,1,1.2525252525252526,1.2525252525252526,3.757575757575758,3.878787878787879,0.1212121212121211,0.08080808080808083,1.213957759412305,1.17722681359045,0.9697428139183055
2012,a425,first_draw_sensitivity,100,1,1.1099999999999999,1.1099999999999999,3.82,3.1900000000000004,-0.6299999999999994,0.21,1.0476,1.3539,1.2923825887743414
2018,a421,first_draw_sensitivity,100,1,1.5599999999999998,1.5599999999999998,2.95,3.95,1,0.33999999999999997,1.7275,1.0475,0.6063675832127352
2018,a422,first_draw_sensitivity,100,1,1.3999999999999997,1.3999999999999997,3.15,4.31,1.1599999999999997,0.4,1.3875000000000002,0.6738999999999999,0.4856936936936936
2018,a423,first_draw_sensitivity,100,1,1.28,1.28,3.05,3.69,0.6400000000000001,0.26,1.3475000000000004,1.0139,0.7524304267161408
2018,a424,first_draw_sensitivity,99,1,0.98989898989899,0.98989898989899,3.9393939393939394,4.202020202020202,0.262626262626263,0.13131313131313135,0.9862258953168043,0.7874706662585451,0.7984688599213741
2018,a425,first_draw_sensitivity,100,1,1.15,1.15,3.9,3.7299999999999995,-0.17000000000000037,0.22999999999999998,1.27,1.0571,0.8323622047244094
2021,a421,first_draw_sensitivity,99,1,1.6363636363636362,1.6363636363636362,2.7878787878787876,3.878787878787879,1.0909090909090913,0.3434343434343435,1.682277318640955,1.2176308539944904,0.7237991266375546
2021,a422,first_draw_sensitivity,100,1,1.3999999999999997,1.3999999999999997,3.24,4.46,1.2199999999999998,0.45999999999999996,1.6024000000000003,0.3284,0.20494258612081875
2021,a423,first_draw_sensitivity,100,1,1.3,1.3,3.02,3.8,0.7799999999999998,0.36000000000000004,1.4596,0.7799999999999999,0.534392984379282
2021,a424,first_draw_sensitivity,99,1,0.8383838383838382,0.8383838383838382,3.98989898989899,4.303030303030303,0.3131313131313127,0.1111111111111111,1.262524232221202,0.63544536271809,0.5033133990625505
2021,a425,first_draw_sensitivity,100,1,1.0699999999999998,1.0699999999999998,4.23,3.5600000000000005,-0.6699999999999999,0.33000000000000007,0.7971000000000001,1.2264000000000002,1.538577342867896
