wave,condition,correlation_rmse,a425_mean_abs_correlation_llm,a425_mean_abs_correlation_human
2012,neutral_verbal,0.18181598375611888,0.2489793832839116,0.049372588692858335
2018,neutral_verbal,0.17471314123827195,0.33547071814920315,0.07822638385484665
2021,neutral_verbal,0.12096318119364866,0.22533090952611198,0.07819950162680721
