metric,estimate,ci_low,ci_high,bootstrap_repetitions,profiles
omae,1.1750074074074075,1.111831319315605,1.2362915103415104,2000,300
absolute_mean_error,0.7118801346801347,0.6288837923452208,0.7990321885521884,2000,300
total_variation,0.28145589225589224,0.2683974087816945,0.32121807668521957,2000,300
variance_ratio,0.7942733237822394,0.7265132431524219,0.9219863989381167,2000,300
correlation_rmse,0.17307383233223214,0.16805874912574983,0.2109014979683534,2000,300
joint_a425,0.26971012920524773,0.23400154470391485,0.319724239081098,2000,300
independent_a425,0.13943013669189014,0.12320245484494573,0.20920791555209609,2000,300
context_difference,0.13027999251335762,0.050271880277571,0.178281708574676,2000,300
