wave,joint_a425,joint_repeat_sd,joint_estimable_pairs,repeats,independent_a425,independent_estimable_pairs,human_a425,context_difference,independent_human_gap
2012,0.24240911976085033,0.08413079042286374,4,5,0.18424080373926682,4,0.049372588692858335,0.05816831602158351,0.1348682150464085
2018,0.33486707220650214,0.061010507822136906,4,5,0.06461759380265322,4,0.07822638385484665,0.27024947840384894,-0.013608790052193426
2021,0.23185419564839077,0.09308395843807969,4,5,0.16943201253375034,4,0.07819950162680721,0.06242218311464043,0.09123251090694313
